TE resonant wavenumbers:  
     1               0 3.6069977172816e-08
     2 0.43808160488132               0
     3 0.44561332758893               0
     4 0.77732825247129               0
     5 0.77802327053087               0
     6 1.1276355407918               0
     7 1.1363984106981               0
     8 1.2412876604656               0
     9 1.5174044729693               0
    10 1.5422017825054               0
    11 1.5898574159984               0
    12 1.6996327640554               0
    13 1.8913102296733               0
    14 1.9498141454846               0
    15 2.1010744065862               0
    16   2.40078741656               0
    17 2.5832670765446               0
    18 3.2050700270314               0
    19 3.3851920742364               0
    20 3.7616577539389               0
    21 3.8018514118599               0
    22 3.9248132460306               0
